model,accuracy,precision,recall,f1_score
MultinomialNB,0.9802690582959641,0.9922480620155039,0.8590604026845637,0.920863309352518
LogisticRegression,0.9739910313901345,0.9477611940298507,0.8523489932885906,0.8975265017667845
DecisionTree,0.9668161434977578,0.9057971014492754,0.8389261744966443,0.8710801393728222
